Time Points,Analytical Electron,Simulation Electron,Electron Lower Error,Electron Upper Error,Analytical Muon,Simulation Muon,Muon Lower Error,Muon Upper Error
0.0,1.0,0.973,0.0010000000000000009,0.0010000000000000009,0.0,0.027,0.0010000000000000009,0.0010000000000000009
52.63157894736842,0.9684863737766086,0.953,0.010000000000000009,0.0020000000000000018,0.031513626223391406,0.047,0.0020000000000000018,0.010000000000000002
105.26315789473684,0.8789466716782467,0.851,0.0010000000000000009,0.0050000000000000044,0.12105332832175335,0.149,0.0050000000000000044,0.0010000000000000009
157.89473684210526,0.7455907423972552,0.736,0.009000000000000008,0.01200000000000001,0.25440925760274485,0.264,0.01200000000000001,0.009000000000000008
210.52631578947367,0.5895820199511799,0.588,0.0020000000000000018,0.0020000000000000018,0.41041798004882013,0.412,0.0020000000000000018,0.0020000000000000018
263.1578947368421,0.4356789108199626,0.433,0.0030000000000000027,0.0050000000000000044,0.5643210891800374,0.567,0.004999999999999893,0.0030000000000000027
315.7894736842105,0.30830566304982776,0.321,0.009000000000000008,0.0030000000000000027,0.6916943369501722,0.679,0.0030000000000000027,0.008999999999999897
368.4210526315789,0.2276762659198257,0.24,0.0010000000000000009,0.019000000000000017,0.7723237340801743,0.76,0.019000000000000017,0.0010000000000000009
421.05263157894734,0.20658651287712904,0.229,0.0050000000000000044,0.0030000000000000027,0.793413487122871,0.771,0.0030000000000000027,0.0050000000000000044
473.6842105263158,0.24838332369779803,0.263,0.0040000000000000036,0.008000000000000007,0.751616676302202,0.737,0.008000000000000007,0.0040000000000000036
526.3157894736842,0.34643359213214164,0.34,0.013000000000000012,0.0,0.6535664078678584,0.66,0.0,0.013000000000000012
578.9473684210526,0.48517685230810614,0.483,0.006000000000000005,0.013000000000000012,0.5148231476918939,0.517,0.013000000000000012,0.006000000000000005
631.578947368421,0.6425947069339877,0.628,0.0050000000000000044,0.006000000000000005,0.35740529306601226,0.372,0.006000000000000005,0.0050000000000000044
684.2105263157895,0.7937051218586186,0.773,0.007000000000000006,0.0040000000000000036,0.2062948781413813,0.227,0.0040000000000000036,0.007000000000000006
736.8421052631578,0.9145270464240782,0.887,0.010000000000000009,0.0010000000000000009,0.08547295357592175,0.113,0.0010000000000000009,0.009999999999999995
789.4736842105262,0.985886178878653,0.957,0.0,0.0050000000000000044,0.01411382112134695,0.043,0.0049999999999999975,0.0
842.1052631578947,0.9964579062156754,0.974,0.0050000000000000044,0.0030000000000000027,0.0035420937843245377,0.026,0.002999999999999999,0.005000000000000001
894.7368421052631,0.9445645073532642,0.921,0.0010000000000000009,0.0,0.05543549264673573,0.079,0.0,0.0010000000000000009
947.3684210526316,0.8384414055582529,0.821,0.006000000000000005,0.01200000000000001,0.16155859444174717,0.179,0.011999999999999983,0.006000000000000005
1000.0,0.6949302161580232,0.681,0.0010000000000000009,0.0010000000000000009,0.3050697838419768,0.319,0.0010000000000000009,0.0010000000000000009
